,Country,Year,CIWB (log base 10),GDP per capita (log base 10)
0,Argentina,1990,1.7632709,3.5135185
1,Argentina,1990,1.7632709,3.5135185
2,Argentina,1990,1.7632709,3.5135185
3,Argentina,1990,1.7632709,3.5135185
4,Argentina,1991,1.7638009,3.5593721
5,Argentina,1991,1.7638009,3.5593721
6,Argentina,1991,1.7638009,3.5593721
7,Argentina,1991,1.7638009,3.5593721
8,Argentina,1992,1.7637888,3.6025484
9,Argentina,1992,1.7637888,3.6025484
10,Argentina,1992,1.7637888,3.6025484
11,Argentina,1992,1.7637888,3.6025484
12,Argentina,1993,1.7613237,3.6217946
13,Argentina,1993,1.7613237,3.6217946
14,Argentina,1993,1.7613237,3.6217946
15,Argentina,1993,1.7613237,3.6217946
16,Argentina,1994,1.761641,3.6408713
17,Argentina,1994,1.761641,3.6408713
18,Argentina,1994,1.761641,3.6408713
19,Argentina,1994,1.761641,3.6408713
20,Argentina,1995,1.7584465,3.6228926
21,Argentina,1995,1.7584465,3.6228926
22,Argentina,1995,1.7584465,3.6228926
23,Argentina,1995,1.7584465,3.6228926
24,Argentina,1996,1.7585883,3.6409155
25,Argentina,1996,1.7585883,3.6409155
26,Argentina,1996,1.7585883,3.6409155
27,Argentina,1996,1.7585883,3.6409155
28,Argentina,1997,1.7595165,3.669562
29,Argentina,1997,1.7595165,3.669562
30,Argentina,1997,1.7595165,3.669562
31,Argentina,1997,1.7595165,3.669562
32,Argentina,1998,1.7587534,3.6809057
33,Argentina,1998,1.7587534,3.6809057
34,Argentina,1998,1.7587534,3.6809057
35,Argentina,1998,1.7587534,3.6809057
36,Argentina,1999,1.7571492,3.6611017
37,Argentina,1999,1.7571492,3.6611017
38,Argentina,1999,1.7571492,3.6611017
39,Argentina,1999,1.7571492,3.6611017
40,Argentina,2000,1.7530366,3.6530651
41,Argentina,2000,1.7530366,3.6530651
42,Argentina,2000,1.7530366,3.6530651
43,Argentina,2000,1.7530366,3.6530651
44,Argentina,2001,1.7502666,3.6291468
45,Argentina,2001,1.7502666,3.6291468
46,Argentina,2001,1.7502666,3.6291468
47,Argentina,2001,1.7502666,3.6291468
48,Argentina,2002,1.7360513,3.574944
49,Argentina,2002,1.7360513,3.574944
50,Argentina,2002,1.7360513,3.574944
51,Argentina,2002,1.7360513,3.574944
52,Argentina,2003,1.7427368,3.6077813
53,Argentina,2003,1.7427368,3.6077813
54,Argentina,2003,1.7427368,3.6077813
55,Argentina,2003,1.7427368,3.6077813
56,Argentina,2004,1.744377,3.6414726
57,Argentina,2004,1.744377,3.6414726
58,Argentina,2004,1.744377,3.6414726
59,Argentina,2004,1.744377,3.6414726
60,Argentina,2005,1.7447488,3.6757845
61,Argentina,2005,1.7447488,3.6757845
62,Argentina,2005,1.7447488,3.6757845
63,Argentina,2005,1.7447488,3.6757845
64,Argentina,2006,1.7467373,3.7072625
65,Argentina,2006,1.7467373,3.7072625
66,Argentina,2006,1.7467373,3.7072625
67,Argentina,2006,1.7467373,3.7072625
68,Argentina,2007,1.7491072,3.7365558
69,Argentina,2007,1.7491072,3.7365558
70,Argentina,2007,1.7491072,3.7365558
71,Argentina,2007,1.7491072,3.7365558
72,Argentina,2008,1.7481636,3.7640266
73,Argentina,2008,1.7481636,3.7640266
74,Argentina,2008,1.7481636,3.7640266
75,Argentina,2008,1.7481636,3.7640266
76,Australia,1990,1.8376384,4.3971679
77,Australia,1990,1.8376384,4.3971679
78,Australia,1990,1.8376384,4.3971679
79,Australia,1990,1.8376384,4.3971679
80,Australia,1991,1.8322675,4.3901064
81,Australia,1991,1.8322675,4.3901064
82,Australia,1991,1.8322675,4.3901064
83,Australia,1991,1.8322675,4.3901064
84,Australia,1992,1.8329689,4.3866926
85,Australia,1992,1.8329689,4.3866926
86,Australia,1992,1.8329689,4.3866926
87,Australia,1992,1.8329689,4.3866926
88,Australia,1993,1.8310244,4.3999396
89,Australia,1993,1.8310244,4.3999396
90,Australia,1993,1.8310244,4.3999396
91,Australia,1993,1.8310244,4.3999396
92,Australia,1994,1.8329267,4.4125782
93,Australia,1994,1.8329267,4.4125782
94,Australia,1994,1.8329267,4.4125782
95,Australia,1994,1.8329267,4.4125782
96,Australia,1995,1.8305291,4.4243221
97,Australia,1995,1.8305291,4.4243221
98,Australia,1995,1.8305291,4.4243221
99,Australia,1995,1.8305291,4.4243221
100,Australia,1996,1.8343492,4.4356228
101,Australia,1996,1.8343492,4.4356228
102,Australia,1996,1.8343492,4.4356228
103,Australia,1996,1.8343492,4.4356228
104,Australia,1997,1.832102,4.4473821
105,Australia,1997,1.832102,4.4473821
106,Australia,1997,1.832102,4.4473821
107,Australia,1997,1.832102,4.4473821
108,Australia,1998,1.8380265,4.4620724
109,Australia,1998,1.8380265,4.4620724
110,Australia,1998,1.8380265,4.4620724
111,Australia,1998,1.8380265,4.4620724
112,Australia,1999,1.8265236,4.4781111
113,Australia,1999,1.8265236,4.4781111
114,Australia,1999,1.8265236,4.4781111
115,Australia,1999,1.8265236,4.4781111
116,Australia,2000,1.8196913,4.489323
117,Australia,2000,1.8196913,4.489323
118,Australia,2000,1.8196913,4.489323
119,Australia,2000,1.8196913,4.489323
120,Australia,2001,1.8141962,4.4916391
121,Australia,2001,1.8141962,4.4916391
122,Australia,2001,1.8141962,4.4916391
123,Australia,2001,1.8141962,4.4916391
124,Australia,2002,1.8226447,4.5030086
125,Australia,2002,1.8226447,4.5030086
126,Australia,2002,1.8226447,4.5030086
127,Australia,2002,1.8226447,4.5030086
128,Australia,2003,1.8220828,4.5111225
129,Australia,2003,1.8220828,4.5111225
130,Australia,2003,1.8220828,4.5111225
131,Australia,2003,1.8220828,4.5111225
132,Australia,2004,1.822378,4.5237361
133,Australia,2004,1.822378,4.5237361
134,Australia,2004,1.822378,4.5237361
135,Australia,2004,1.822378,4.5237361
136,Australia,2005,1.8230247,4.5316288
137,Australia,2005,1.8230247,4.5316288
138,Australia,2005,1.8230247,4.5316288
139,Australia,2005,1.8230247,4.5316288
140,Australia,2006,1.8220395,4.5382394
141,Australia,2006,1.8220395,4.5382394
142,Australia,2006,1.8220395,4.5382394
143,Australia,2006,1.8220395,4.5382394
144,Australia,2007,1.8213357,4.5516736
145,Australia,2007,1.8213357,4.5516736
146,Australia,2007,1.8213357,4.5516736
147,Australia,2007,1.8213357,4.5516736
148,Australia,2008,1.8051954,4.5590375
149,Australia,2008,1.8051954,4.5590375
150,Australia,2008,1.8051954,4.5590375
151,Australia,2008,1.8051954,4.5590375
152,Austria,1990,1.8340172,4.4477846
153,Austria,1990,1.8340172,4.4477846
154,Austria,1990,1.8340172,4.4477846
155,Austria,1990,1.8340172,4.4477846
156,Austria,1991,1.8351432,4.4581439
157,Austria,1991,1.8351432,4.4581439
158,Austria,1991,1.8351432,4.4581439
159,Austria,1991,1.8351432,4.4581439
160,Austria,1992,1.827177,4.4623625
161,Austria,1992,1.827177,4.4623625
162,Austria,1992,1.827177,4.4623625
163,Austria,1992,1.827177,4.4623625
164,Austria,1993,1.8145032,4.4610631
165,Austria,1993,1.8145032,4.4610631
166,Austria,1993,1.8145032,4.4610631
167,Austria,1993,1.8145032,4.4610631
168,Austria,1994,1.8158412,4.4697005
169,Austria,1994,1.8158412,4.4697005
170,Austria,1994,1.8158412,4.4697005
171,Austria,1994,1.8158412,4.4697005
172,Austria,1995,1.8061523,4.4804706
173,Austria,1995,1.8061523,4.4804706
174,Austria,1995,1.8061523,4.4804706
175,Austria,1995,1.8061523,4.4804706
176,Austria,1996,1.8073905,4.4904668
177,Austria,1996,1.8073905,4.4904668
178,Austria,1996,1.8073905,4.4904668
179,Austria,1996,1.8073905,4.4904668
180,Austria,1997,1.7999365,4.4998881
181,Austria,1997,1.7999365,4.4998881
182,Austria,1997,1.7999365,4.4998881
183,Austria,1997,1.7999365,4.4998881
184,Austria,1998,1.8037919,4.5155484
185,Austria,1998,1.8037919,4.5155484
186,Austria,1998,1.8037919,4.5155484
187,Austria,1998,1.8037919,4.5155484
188,Austria,1999,1.7995173,4.5298079
189,Austria,1999,1.7995173,4.5298079
190,Austria,1999,1.7995173,4.5298079
191,Austria,1999,1.7995173,4.5298079
192,Austria,2000,1.7984149,4.5444066
193,Austria,2000,1.7984149,4.5444066
194,Austria,2000,1.7984149,4.5444066
195,Austria,2000,1.7984149,4.5444066
196,Austria,2001,1.7964238,4.5464519
197,Austria,2001,1.7964238,4.5464519
198,Austria,2001,1.7964238,4.5464519
199,Austria,2001,1.7964238,4.5464519
200,Austria,2002,1.7951264,4.5516094
201,Austria,2002,1.7951264,4.5516094
202,Austria,2002,1.7951264,4.5516094
203,Austria,2002,1.7951264,4.5516094
204,Austria,2003,1.8003314,4.5532383
205,Austria,2003,1.8003314,4.5532383
206,Austria,2003,1.8003314,4.5532383
207,Austria,2003,1.8003314,4.5532383
208,Austria,2004,1.7996193,4.5616471
209,Austria,2004,1.7996193,4.5616471
210,Austria,2004,1.7996193,4.5616471
211,Austria,2004,1.7996193,4.5616471
212,Austria,2005,1.799086,4.5689912
213,Austria,2005,1.799086,4.5689912
214,Austria,2005,1.799086,4.5689912
215,Austria,2005,1.799086,4.5689912
216,Austria,2006,1.7967115,4.5824946
217,Austria,2006,1.7967115,4.5824946
218,Austria,2006,1.7967115,4.5824946
219,Austria,2006,1.7967115,4.5824946
220,Austria,2007,1.7938917,4.5966131
221,Austria,2007,1.7938917,4.5966131
222,Austria,2007,1.7938917,4.5966131
223,Austria,2007,1.7938917,4.5966131
224,Austria,2008,1.7943895,4.6009197
225,Austria,2008,1.7943895,4.6009197
226,Austria,2008,1.7943895,4.6009197
227,Austria,2008,1.7943895,4.6009197
228,Bangladesh,1990,1.8037483,2.4307635
229,Bangladesh,1990,1.8037483,2.4307635
230,Bangladesh,1990,1.8037483,2.4307635
231,Bangladesh,1990,1.8037483,2.4307635
232,Bangladesh,1991,1.8000026,2.4348419
233,Bangladesh,1991,1.8000026,2.4348419
234,Bangladesh,1991,1.8000026,2.4348419
235,Bangladesh,1991,1.8000026,2.4348419
236,Bangladesh,1992,1.7963428,2.4464415
237,Bangladesh,1992,1.7963428,2.4464415
238,Bangladesh,1992,1.7963428,2.4464415
239,Bangladesh,1992,1.7963428,2.4464415
240,Bangladesh,1993,1.792373,2.4564419
241,Bangladesh,1993,1.792373,2.4564419
242,Bangladesh,1993,1.792373,2.4564419
243,Bangladesh,1993,1.792373,2.4564419
244,Bangladesh,1994,1.7886349,2.4645844
245,Bangladesh,1994,1.7886349,2.4645844
246,Bangladesh,1994,1.7886349,2.4645844
247,Bangladesh,1994,1.7886349,2.4645844
248,Bangladesh,1995,1.7852784,2.4763098
249,Bangladesh,1995,1.7852784,2.4763098
250,Bangladesh,1995,1.7852784,2.4763098
251,Bangladesh,1995,1.7852784,2.4763098
252,Bangladesh,1996,1.7816005,2.4868571
