Country,Year,CIWB (log10), GDP-per-cap (log10)
Argentina,1990,1.7632709,3.5135185
Argentina,1990,1.7632709,3.5135185
Argentina,1990,1.7632709,3.5135185
Argentina,1990,1.7632709,3.5135185
Argentina,1991,1.7638009,3.5593721
Argentina,1991,1.7638009,3.5593721
Argentina,1991,1.7638009,3.5593721
Argentina,1991,1.7638009,3.5593721
Argentina,1992,1.7637888,3.6025484
Argentina,1992,1.7637888,3.6025484
Argentina,1992,1.7637888,3.6025484
Argentina,1992,1.7637888,3.6025484
Argentina,1993,1.7613237,3.6217946
Argentina,1993,1.7613237,3.6217946
Argentina,1993,1.7613237,3.6217946
Argentina,1993,1.7613237,3.6217946
Argentina,1994,1.761641,3.6408713
Argentina,1994,1.761641,3.6408713
Argentina,1994,1.761641,3.6408713
Argentina,1994,1.761641,3.6408713
Argentina,1995,1.7584465,3.6228926
Argentina,1995,1.7584465,3.6228926
Argentina,1995,1.7584465,3.6228926
Argentina,1995,1.7584465,3.6228926
Argentina,1996,1.7585883,3.6409155
Argentina,1996,1.7585883,3.6409155
Argentina,1996,1.7585883,3.6409155
Argentina,1996,1.7585883,3.6409155
Argentina,1997,1.7595165,3.669562
Argentina,1997,1.7595165,3.669562
Argentina,1997,1.7595165,3.669562
Argentina,1997,1.7595165,3.669562
Argentina,1998,1.7587534,3.6809057
Argentina,1998,1.7587534,3.6809057
Argentina,1998,1.7587534,3.6809057
Argentina,1998,1.7587534,3.6809057
Argentina,1999,1.7571492,3.6611017
Argentina,1999,1.7571492,3.6611017
Argentina,1999,1.7571492,3.6611017
Argentina,1999,1.7571492,3.6611017
Argentina,2000,1.7530366,3.6530651
Argentina,2000,1.7530366,3.6530651
Argentina,2000,1.7530366,3.6530651
Argentina,2000,1.7530366,3.6530651
Argentina,2001,1.7502666,3.6291468
Argentina,2001,1.7502666,3.6291468
Argentina,2001,1.7502666,3.6291468
Argentina,2001,1.7502666,3.6291468
Argentina,2002,1.7360513,3.574944
Argentina,2002,1.7360513,3.574944
Argentina,2002,1.7360513,3.574944
Argentina,2002,1.7360513,3.574944
Argentina,2003,1.7427368,3.6077813
Argentina,2003,1.7427368,3.6077813
Argentina,2003,1.7427368,3.6077813
Argentina,2003,1.7427368,3.6077813
Argentina,2004,1.744377,3.6414726
Argentina,2004,1.744377,3.6414726
Argentina,2004,1.744377,3.6414726
Argentina,2004,1.744377,3.6414726
Argentina,2005,1.7447488,3.6757845
Argentina,2005,1.7447488,3.6757845
Argentina,2005,1.7447488,3.6757845
Argentina,2005,1.7447488,3.6757845
Argentina,2006,1.7467373,3.7072625
Argentina,2006,1.7467373,3.7072625
Argentina,2006,1.7467373,3.7072625
Argentina,2006,1.7467373,3.7072625
Argentina,2007,1.7491072,3.7365558
Argentina,2007,1.7491072,3.7365558
Argentina,2007,1.7491072,3.7365558
Argentina,2007,1.7491072,3.7365558
Argentina,2008,1.7481636,3.7640266
Argentina,2008,1.7481636,3.7640266
Argentina,2008,1.7481636,3.7640266
Argentina,2008,1.7481636,3.7640266
Australia,1990,1.8376384,4.3971679
Australia,1990,1.8376384,4.3971679
Australia,1990,1.8376384,4.3971679
Australia,1990,1.8376384,4.3971679
Australia,1991,1.8322675,4.3901064
Australia,1991,1.8322675,4.3901064
Australia,1991,1.8322675,4.3901064
Australia,1991,1.8322675,4.3901064
Australia,1992,1.8329689,4.3866926
Australia,1992,1.8329689,4.3866926
Australia,1992,1.8329689,4.3866926
Australia,1992,1.8329689,4.3866926
Australia,1993,1.8310244,4.3999396
Australia,1993,1.8310244,4.3999396
Australia,1993,1.8310244,4.3999396
Australia,1993,1.8310244,4.3999396
Australia,1994,1.8329267,4.4125782
Australia,1994,1.8329267,4.4125782
Australia,1994,1.8329267,4.4125782
Australia,1994,1.8329267,4.4125782
Australia,1995,1.8305291,4.4243221
Australia,1995,1.8305291,4.4243221
Australia,1995,1.8305291,4.4243221
Australia,1995,1.8305291,4.4243221
Australia,1996,1.8343492,4.4356228
Australia,1996,1.8343492,4.4356228
Australia,1996,1.8343492,4.4356228
Australia,1996,1.8343492,4.4356228
Australia,1997,1.832102,4.4473821
Australia,1997,1.832102,4.4473821
Australia,1997,1.832102,4.4473821
Australia,1997,1.832102,4.4473821
Australia,1998,1.8380265,4.4620724
Australia,1998,1.8380265,4.4620724
Australia,1998,1.8380265,4.4620724
Australia,1998,1.8380265,4.4620724
Australia,1999,1.8265236,4.4781111
Australia,1999,1.8265236,4.4781111
Australia,1999,1.8265236,4.4781111
Australia,1999,1.8265236,4.4781111
Australia,2000,1.8196913,4.489323
Australia,2000,1.8196913,4.489323
Australia,2000,1.8196913,4.489323
Australia,2000,1.8196913,4.489323
Australia,2001,1.8141962,4.4916391
Australia,2001,1.8141962,4.4916391
Australia,2001,1.8141962,4.4916391
Australia,2001,1.8141962,4.4916391
Australia,2002,1.8226447,4.5030086
Australia,2002,1.8226447,4.5030086
Australia,2002,1.8226447,4.5030086
Australia,2002,1.8226447,4.5030086
Australia,2003,1.8220828,4.5111225
Australia,2003,1.8220828,4.5111225
Australia,2003,1.8220828,4.5111225
Australia,2003,1.8220828,4.5111225
Australia,2004,1.822378,4.5237361
Australia,2004,1.822378,4.5237361
Australia,2004,1.822378,4.5237361
Australia,2004,1.822378,4.5237361
Australia,2005,1.8230247,4.5316288
Australia,2005,1.8230247,4.5316288
Australia,2005,1.8230247,4.5316288
Australia,2005,1.8230247,4.5316288
Australia,2006,1.8220395,4.5382394
Australia,2006,1.8220395,4.5382394
Australia,2006,1.8220395,4.5382394
Australia,2006,1.8220395,4.5382394
Australia,2007,1.8213357,4.5516736
Australia,2007,1.8213357,4.5516736
Australia,2007,1.8213357,4.5516736
Australia,2007,1.8213357,4.5516736
Australia,2008,1.8051954,4.5590375
Australia,2008,1.8051954,4.5590375
Australia,2008,1.8051954,4.5590375
Australia,2008,1.8051954,4.5590375
Austria,1990,1.8340172,4.4477846
Austria,1990,1.8340172,4.4477846
Austria,1990,1.8340172,4.4477846
Austria,1990,1.8340172,4.4477846
Austria,1991,1.8351432,4.4581439
Austria,1991,1.8351432,4.4581439
Austria,1991,1.8351432,4.4581439
Austria,1991,1.8351432,4.4581439
Austria,1992,1.827177,4.4623625
Austria,1992,1.827177,4.4623625
Austria,1992,1.827177,4.4623625
Austria,1992,1.827177,4.4623625
Austria,1993,1.8145032,4.4610631
Austria,1993,1.8145032,4.4610631
Austria,1993,1.8145032,4.4610631
Austria,1993,1.8145032,4.4610631
Austria,1994,1.8158412,4.4697005
Austria,1994,1.8158412,4.4697005
Austria,1994,1.8158412,4.4697005
Austria,1994,1.8158412,4.4697005
Austria,1995,1.8061523,4.4804706
Austria,1995,1.8061523,4.4804706
Austria,1995,1.8061523,4.4804706
Austria,1995,1.8061523,4.4804706
Austria,1996,1.8073905,4.4904668
Austria,1996,1.8073905,4.4904668
Austria,1996,1.8073905,4.4904668
Austria,1996,1.8073905,4.4904668
Austria,1997,1.7999365,4.4998881
Austria,1997,1.7999365,4.4998881
Austria,1997,1.7999365,4.4998881
Austria,1997,1.7999365,4.4998881
Austria,1998,1.8037919,4.5155484
Austria,1998,1.8037919,4.5155484
Austria,1998,1.8037919,4.5155484
Austria,1998,1.8037919,4.5155484
Austria,1999,1.7995173,4.5298079
Austria,1999,1.7995173,4.5298079
Austria,1999,1.7995173,4.5298079
Austria,1999,1.7995173,4.5298079
Austria,2000,1.7984149,4.5444066
Austria,2000,1.7984149,4.5444066
Austria,2000,1.7984149,4.5444066
Austria,2000,1.7984149,4.5444066
Austria,2001,1.7964238,4.5464519
Austria,2001,1.7964238,4.5464519
Austria,2001,1.7964238,4.5464519
Austria,2001,1.7964238,4.5464519
